gorod-maykop;adygeya-resp;Город Майкоп;Адыгея Республика
gorod-adygeysk;adygeya-resp;Город Адыгейск;Адыгея Республика
gorod-ufa;bashkortostan-resp;Город Уфа;Башкортостан Республика
gorod-agidel;bashkortostan-resp;Город Агидель;Башкортостан Республика
gorod-neftekamsk;bashkortostan-resp;Город Нефтекамск;Башкортостан Республика
gorod-oktyabrskiy;bashkortostan-resp;Город Октябрьский;Башкортостан Республика
gorod-salavat;bashkortostan-resp;Город Салават;Башкортостан Республика
gorod-sibay;bashkortostan-resp;Город Сибай;Башкортостан Республика
gorod-kumertau;bashkortostan-resp;Город Кумертау;Башкортостан Республика
gorod-mezhgore;bashkortostan-resp;Город Межгорье;Башкортостан Республика
gorod-sterlitamak;bashkortostan-resp;Город Стерлитамак;Башкортостан Республика
gorod-ufa-bashkortostan-resp;bashkortostan-resp;Город Уфа;Башкортостан Республика
gorod-baymak;bashkortostan-resp;Город Баймак;Башкортостан Республика
gorod-belebey;bashkortostan-resp;Город Белебей;Башкортостан Республика
gorod-beloretsk;bashkortostan-resp;Город Белорецк;Башкортостан Республика
gorod-mezhgore-bashkortostan-resp;bashkortostan-resp;Город Межгорье;Башкортостан Республика
gorod-birsk;bashkortostan-resp;Город Бирск;Башкортостан Республика
gorod-blagoveschensk;bashkortostan-resp;Город Благовещенск;Башкортостан Республика
gorod-ishimbay;bashkortostan-resp;Город Ишимбай;Башкортостан Республика
gorod-meleuz;bashkortostan-resp;Город Мелеуз;Башкортостан Республика
gorod-sterlitamak-bashkortostan-resp;bashkortostan-resp;Город Стерлитамак;Башкортостан Республика
gorod-tuymazy;bashkortostan-resp;Город Туймазы;Башкортостан Республика
gorod-uchaly;bashkortostan-resp;Город Учалы;Башкортостан Республика
gorod-yanaul;bashkortostan-resp;Город Янаул;Башкортостан Республика
gorod-davlekanovo;bashkortostan-resp;Город Давлеканово;Башкортостан Республика
gorod-dyurtyuli;bashkortostan-resp;Город Дюртюли;Башкортостан Республика
gorod-ulan-ude;buryatiya-resp;Город Улан-Удэ;Бурятия Республика
gorod-severobaykalsk;buryatiya-resp;Город Северобайкальск;Бурятия Республика
gorod-zakamensk;buryatiya-resp;Город Закаменск;Бурятия Республика
gorod-babushkin;buryatiya-resp;Город Бабушкин;Бурятия Республика
gorod-kyakhta;buryatiya-resp;Город Кяхта;Бурятия Республика
gorod-severobaykalsk-buryatiya-resp;buryatiya-resp;Город Северобайкальск;Бурятия Республика
gorod-gusinoozersk;buryatiya-resp;Город Гусиноозерск;Бурятия Республика
gorod-gorno-altaysk;altay-resp;Город Горно-Алтайск;Алтай Республика
gorod-makhachkala;dagestan-resp;Город Махачкала;Дагестан Республика
gorod-dagestanskie-ogni;dagestan-resp;Город Дагестанские Огни;Дагестан Республика
gorod-izberbash;dagestan-resp;Город Избербаш;Дагестан Республика
gorod-kaspiysk;dagestan-resp;Город Каспийск;Дагестан Республика
gorod-yuzhno-sukhokumsk;dagestan-resp;Город Южно-Сухокумск;Дагестан Республика
gorod-derbent;dagestan-resp;Город Дербент;Дагестан Республика
gorod-kizilyurt;dagestan-resp;Город Кизилюрт;Дагестан Республика
gorod-kizlyar;dagestan-resp;Город Кизляр;Дагестан Республика
gorod-khasavyurt;dagestan-resp;Город Хасавюрт;Дагестан Республика
gorod-buynaksk;dagestan-resp;Город Буйнакск;Дагестан Республика
gorod-magas;ingushetiya-resp;Город Магас;Ингушетия Республика
gorod-karabulak;ingushetiya-resp;Город Карабулак;Ингушетия Республика
gorod-nazran;ingushetiya-resp;Город Назрань;Ингушетия Республика
gorod-malgobek;ingushetiya-resp;Город Малгобек;Ингушетия Республика
gorod-sunzha;ingushetiya-resp;Город Сунжа;Ингушетия Республика
