gorod-maykop;Город Майкоп;Адыгея Республика;adygeya-resp;из города Майкоп;55.141192;61.415829
stanitsa-khanskaya;Станица Ханская;Адыгея Республика;adygeya-resp;из станицы Ханская;55.141193;61.415830
gorod-adygeysk;Город Адыгейск;Адыгея Республика;adygeya-resp;из города Адыгейск;55.141194;61.415831
pgt-tulskiy;ПГТ Тульский;Адыгея Республика;adygeya-resp;из ПГТ Тульский;55.141195;61.415832
stanitsa-abadzekhskaya;Станица Абадзехская;Адыгея Республика;adygeya-resp;из станицы Абадзехская;55.141196;61.415833
stanitsa-bezvodnaya;Станица Безводная;Адыгея Республика;adygeya-resp;из станицы Безводная;55.141197;61.415834
stanitsa-dagestanskaya;Станица Дагестанская;Адыгея Республика;adygeya-resp;из станицы Дагестанская;55.141198;61.415835
stanitsa-dakhovskaya;Станица Даховская;Адыгея Республика;adygeya-resp;из станицы Даховская;55.141199;61.415836
pgt-kamennomostskiy;ПГТ Каменномостский;Адыгея Республика;adygeya-resp;из ПГТ Каменномостский;55.141200;61.415837
stanitsa-kuzhorskaya;Станица Кужорская;Адыгея Республика;adygeya-resp;из станицы Кужорская;55.141201;61.415838
stanitsa-kurdzhipskaya;Станица Курджипская;Адыгея Республика;adygeya-resp;из станицы Курджипская;55.141202;61.415839
stanitsa-novosvobodnaya;Станица Новосвободная;Адыгея Республика;adygeya-resp;из станицы Новосвободная;55.141203;61.415840
stanitsa-sevastopolskaya;Станица Севастопольская;Адыгея Республика;adygeya-resp;из станицы Севастопольская;55.141204;61.415841
pgt-enem;ПГТ Энем;Адыгея Республика;adygeya-resp;из ПГТ Энем;55.141205;61.415842
pgt-yablonovskiy;ПГТ Яблоновский;Адыгея Республика;adygeya-resp;из ПГТ Яблоновский;55.141206;61.415843
pgt-tlyustenkhabl;ПГТ Тлюстенхабль;Адыгея Республика;adygeya-resp;из ПГТ Тлюстенхабль;55.141207;61.415844
stanitsa-giaginskaya;Станица Гиагинская;Адыгея Республика;adygeya-resp;из станицы Гиагинская;55.141208;61.415845
stanitsa-dondukovskaya;Станица Дондуковская;Адыгея Республика;adygeya-resp;из станицы Дондуковская;55.141209;61.415846
stanitsa-kelermesskaya;Станица Келермесская;Адыгея Республика;adygeya-resp;из станицы Келермесская;55.141210;61.415847
gorod-ufa;Город Уфа;Башкортостан Республика;bashkortostan-resp;из города Уфа;55.141211;61.415848
rp-sadovyy;Рабочий поселок Садовый;Башкортостан Республика;bashkortostan-resp;из рабочего поселка Садовый;55.141212;61.415849
rp-yuzhnyy-park;Рабочий поселок Южный Парк;Башкортостан Республика;bashkortostan-resp;из рабочего поселка Южный Парк;55.141213;61.415850
rp-vagony-ep-765;Рабочий поселок Вагоны ЭП 765;Башкортостан Республика;bashkortostan-resp;из рабочего поселка Вагоны ЭП 765;55.141214;61.415851
rp-neftyanoy-park;Рабочий поселок Нефтяной Парк;Башкортостан Республика;bashkortostan-resp;из рабочего поселка Нефтяной Парк;55.141215;61.415852
rp-pozharnoy-chasti-gorodok;Рабочий поселок Пожарной Части (городок);Башкортостан Республика;bashkortostan-resp;из рабочего поселка Пожарной Части (городок);55.141216;61.415853
rp-mk-111;Рабочий поселок МК-111;Башкортостан Республика;bashkortostan-resp;из рабочего поселка МК-111;55.141217;61.415854
rp-su-820;Рабочий поселок СУ-820;Башкортостан Республика;bashkortostan-resp;из рабочего поселка СУ-820;55.141218;61.415855
gorod-agidel;Город Агидель;Башкортостан Республика;bashkortostan-resp;из города Агидель;55.141219;61.415856
gorod-neftekamsk;Город Нефтекамск;Башкортостан Республика;bashkortostan-resp;из города Нефтекамск;55.141220;61.415857
gorod-oktyabrskiy;Город Октябрьский;Башкортостан Республика;bashkortostan-resp;из города Октябрьский;55.141221;61.415858
gorod-salavat;Город Салават;Башкортостан Республика;bashkortostan-resp;из города Салават;55.141222;61.415859
gorod-sibay;Город Сибай;Башкортостан Республика;bashkortostan-resp;из города Сибай;55.141223;61.415860
pgt-zoloto;ПГТ Золото;Башкортостан Республика;bashkortostan-resp;из ПГТ Золото;55.141224;61.415861
gorod-kumertau;Город Кумертау;Башкортостан Республика;bashkortostan-resp;из города Кумертау;55.141225;61.415862
gorod-mezhgore;Город Межгорье;Башкортостан Республика;bashkortostan-resp;из города Межгорье;55.141226;61.415863
gorod-sterlitamak;Город Стерлитамак;Башкортостан Республика;bashkortostan-resp;из города Стерлитамак;55.141227;61.415864
gorod-ufa-bashkortostan-resp;Город Уфа;Башкортостан Республика;bashkortostan-resp;из города Уфа;55.141228;61.415865
rp-vagony-ep-765-bashkortostan-resp;Рабочий поселок Вагоны ЭП 765;Башкортостан Республика;bashkortostan-resp;из рабочего поселка Вагоны ЭП 765;55.141229;61.415866
rp-mk-111-bashkortostan-resp;Рабочий поселок МК-111;Башкортостан Республика;bashkortostan-resp;из рабочего поселка МК-111;55.141230;61.415867
rp-neftyanoy-park-bashkortostan-resp;Рабочий поселок Нефтяной Парк;Башкортостан Республика;bashkortostan-resp;из рабочего поселка Нефтяной Парк;55.141231;61.415868
rp-pozharnoy-chasti-gorodok-bashkortostan-resp;Рабочий поселок Пожарной Части (городок);Башкортостан Республика;bashkortostan-resp;из рабочего поселка Пожарной Части (городок);55.141232;61.415869
rp-sadovyy-bashkortostan-resp;Рабочий поселок Садовый;Башкортостан Республика;bashkortostan-resp;из рабочего поселка Садовый;55.141233;61.415870
rp-su-820-bashkortostan-resp;Рабочий поселок СУ-820;Башкортостан Республика;bashkortostan-resp;из рабочего поселка СУ-820;55.141234;61.415871
rp-yuzhnyy-park-bashkortostan-resp;Рабочий поселок Южный Парк;Башкортостан Республика;bashkortostan-resp;из рабочего поселка Южный Парк;55.141235;61.415872
gorod-baymak;Город Баймак;Башкортостан Республика;bashkortostan-resp;из города Баймак;55.141236;61.415873
rp-priyutovo;Рабочий поселок Приютово;Башкортостан Республика;bashkortostan-resp;из рабочего поселка Приютово;55.141237;61.415874
gorod-belebey;Город Белебей;Башкортостан Республика;bashkortostan-resp;из города Белебей;55.141238;61.415875
